tournament,is_friendly,is_competitive,competition_family,confederation_scope,notes
Friendly,true,false,friendly,global,Standard international friendly
Friendly Tournament,true,false,friendly,global,Friendly mini-tournament or exhibition series
FIFA World Cup,false,true,world_cup,global,Final tournament
FIFA World Cup qualification,false,true,world_cup_qualification,global,Confederation qualification for the World Cup
Confederations Cup,false,true,confederations_cup,global,Discontinued FIFA Confederations Cup
UEFA Euro,false,true,continental_championship,uefa,Final tournament
UEFA Euro qualification,false,true,continental_qualification,uefa,Qualification tournament
UEFA Nations League,false,true,nations_league,uefa,UEFA Nations League
AFC Asian Cup,false,true,continental_championship,afc,Final tournament
AFC Asian Cup qualification,false,true,continental_qualification,afc,Qualification tournament
African Cup of Nations,false,true,continental_championship,caf,Final tournament
African Cup of Nations qualification,false,true,continental_qualification,caf,Qualification tournament
Copa América,false,true,continental_championship,conmebol,Final tournament
CONCACAF Nations League,false,true,nations_league,concacaf,CONCACAF Nations League
CONCACAF Championship,false,true,continental_championship,concacaf,Historical Gold Cup naming
CONCACAF Gold Cup,false,true,continental_championship,concacaf,Final tournament
CONCACAF Gold Cup qualification,false,true,continental_qualification,concacaf,Qualification tournament
Nehru Cup,false,true,regional_competition,afc,Competitive invitational tournament
CFU Caribbean Cup,false,true,regional_competition,concacaf,Regional championship
Caribbean Cup,false,true,regional_competition,concacaf,Regional championship
CFU Caribbean Cup qualification,false,true,regional_qualification,concacaf,Qualification tournament
AFF Championship,false,true,regional_competition,afc,ASEAN championship
SAFF Cup,false,true,regional_competition,afc,South Asian championship
EAFF Championship,false,true,regional_competition,afc,East Asian championship
WAFF Championship,false,true,regional_competition,afc,West Asian championship
Gulf Cup,false,true,regional_competition,afc,Gulf regional championship
COSAFA Cup,false,true,regional_competition,caf,Southern Africa regional championship
CECAFA Cup,false,true,regional_competition,caf,East and Central Africa championship
UNCAF Cup,false,true,regional_competition,concacaf,Central America championship
Kirin Cup,false,true,regional_competition,afc,Competitive invitational tournament
King's Cup,false,true,regional_competition,afc,Competitive invitational tournament
China Cup,false,true,regional_competition,afc,Competitive invitational tournament
Arab Cup,false,true,regional_competition,global,Arab Cup finals
AFC Challenge Cup,false,true,regional_competition,afc,Historical AFC competition
AFC Solidarity Cup,false,true,regional_competition,afc,Competitive regional tournament
African Nations Championship,false,true,regional_competition,caf,CHAN finals
African Nations Championship qualification,false,true,regional_qualification,caf,CHAN qualification
CONIFA World Football Cup,false,true,other_competition,global,Non-FIFA but competitive full-international style event
CONIFA European Football Cup,false,true,other_competition,global,Competitive CONIFA tournament
CONIFA Challenger Cup,false,true,other_competition,global,Competitive CONIFA tournament
Intercontinental Cup,false,true,other_competition,global,Competitive inter-confederation tournament
ABCS Tournament,false,true,regional_competition,concacaf,Caribbean invitational / regional tournament
AFC Challenge Cup qualification,false,true,regional_qualification,afc,AFC Challenge Cup qualifying
AFF Championship qualification,false,true,regional_qualification,afc,ASEAN championship qualifying
ASEAN Championship,false,true,regional_competition,afc,ASEAN championship (AFF naming variant)
ASEAN Championship qualification,false,true,regional_qualification,afc,ASEAN championship qualifying
Al Ain International Cup,false,true,regional_competition,afc,Invitational tournament in UAE
Amílcar Cabral Cup,false,true,regional_competition,caf,West Africa invitational cup
Arab Cup qualification,false,true,continental_qualification,global,FIFA Arab Cup qualifying
Atlantic Heritage Cup,false,true,regional_competition,concacaf,Regional invitational
Baltic Cup,false,true,regional_competition,uefa,Baltic states senior competition
Benedikt Fontana Cup,false,true,regional_competition,uefa,Austrian regional invitational
CAFA Nations Cup,false,true,regional_competition,afc,Central Asian Football Association tournament
CONCACAF Nations League qualification,false,true,continental_qualification,concacaf,CNL qualifying phase
CONCACAF Series,false,true,regional_competition,concacaf,CONCACAF play-off / qualification series
CONIFA Africa Football Cup,false,true,other_competition,global,CONIFA confederation tournament
CONIFA Asia Cup,false,true,other_competition,global,CONIFA confederation tournament
CONIFA South America Football Cup,false,true,other_competition,global,CONIFA confederation tournament
